phase	run	backend	order	status	wall_s	user_s	max_rss_bytes
first-process	1	libav	libav-first	0	2.03	6.48	633405440
first-process	1	ffmpeg	ffmpeg-second	0	1.33	8.92	298565632
first-process	1	auto	auto-third	0	1.21	6.21	641286144
videotoolbox-probe	1	videotoolbox	forced	1	0.27	0.21	189169664
warm	1	libav	libav-first	0	1.01	6.22	634159104
warm	1	ffmpeg	libav-first	0	1.21	8.85	296599552
warm	2	ffmpeg	ffmpeg-first	0	1.19	8.86	293142528
warm	2	libav	ffmpeg-first	0	0.97	6.05	627802112
warm	3	libav	libav-first	0	0.99	6.08	629768192
warm	3	ffmpeg	libav-first	0	1.30	9.08	296501248
warm	4	ffmpeg	ffmpeg-first	0	1.20	8.94	295698432
warm	4	libav	ffmpeg-first	0	0.96	6.08	633077760
warm	5	libav	libav-first	0	0.97	6.10	629325824
warm	5	ffmpeg	libav-first	0	1.26	9.01	298467328
warm	6	ffmpeg	ffmpeg-first	0	1.20	8.85	295337984
warm	6	libav	ffmpeg-first	0	0.97	6.05	627720192
warm	7	libav	libav-first	0	0.99	6.12	632946688
warm	7	ffmpeg	libav-first	0	1.22	8.90	297746432
warm	8	ffmpeg	ffmpeg-first	0	1.29	8.99	303579136
warm	8	libav	ffmpeg-first	0	0.96	6.08	630439936
warm	9	libav	libav-first	0	1.01	6.14	633372672
warm	9	ffmpeg	libav-first	0	1.17	8.91	298008576
warm	10	ffmpeg	ffmpeg-first	0	1.32	9.14	296796160
warm	10	libav	ffmpeg-first	0	0.98	6.10	629702656
warm	11	libav	libav-first	0	0.98	6.09	632029184
warm	11	ffmpeg	libav-first	0	1.20	8.91	298516480
warm	12	ffmpeg	ffmpeg-first	0	1.28	8.99	308625408
warm	12	libav	ffmpeg-first	0	1.02	6.17	632193024
warm	13	libav	libav-first	0	1.00	6.01	635764736
warm	13	ffmpeg	libav-first	0	1.21	8.86	296255488
warm	14	ffmpeg	ffmpeg-first	0	1.20	8.87	300449792
warm	14	libav	ffmpeg-first	0	1.04	6.27	627736576
warm	15	libav	libav-first	0	0.98	6.06	633257984
warm	15	ffmpeg	libav-first	0	1.21	8.85	297107456
warm	16	ffmpeg	ffmpeg-first	0	1.17	8.83	297713664
warm	16	libav	ffmpeg-first	0	1.01	6.18	628785152
warm	17	libav	libav-first	0	1.02	6.17	629620736
warm	17	ffmpeg	libav-first	0	1.21	8.85	299499520
warm	18	ffmpeg	ffmpeg-first	0	1.22	8.80	296091648
warm	18	libav	ffmpeg-first	0	0.98	6.08	630636544
warm	19	libav	libav-first	0	1.06	6.25	628441088
warm	19	ffmpeg	libav-first	0	1.21	8.89	299466752
warm	20	ffmpeg	ffmpeg-first	0	1.19	8.87	295911424
warm	20	libav	ffmpeg-first	0	0.97	6.08	637452288
warm	21	libav	libav-first	0	1.02	6.20	629080064
warm	21	ffmpeg	libav-first	0	1.25	8.93	295534592
warm	22	ffmpeg	ffmpeg-first	0	1.24	8.85	292864000
warm	22	libav	ffmpeg-first	0	0.96	6.04	632700928
warm	23	libav	libav-first	0	0.99	6.15	632733696
warm	23	ffmpeg	libav-first	0	1.29	9.24	298074112
warm	24	ffmpeg	ffmpeg-first	0	1.20	8.77	291471360
warm	24	libav	ffmpeg-first	0	0.98	6.14	631095296
warm	25	libav	libav-first	0	0.99	6.10	631275520
warm	25	ffmpeg	libav-first	0	1.24	9.02	296534016
warm	26	ffmpeg	ffmpeg-first	0	1.21	8.87	296484864
warm	26	libav	ffmpeg-first	0	0.96	6.10	630325248
warm	27	libav	libav-first	0	0.96	6.13	627507200
warm	27	ffmpeg	libav-first	0	1.25	8.89	297828352
warm	28	ffmpeg	ffmpeg-first	0	1.29	9.07	294666240
warm	28	libav	ffmpeg-first	0	0.95	6.10	632963072
warm	29	libav	libav-first	0	0.98	6.07	629178368
warm	29	ffmpeg	libav-first	0	1.18	8.85	297172992
warm	30	ffmpeg	ffmpeg-first	0	1.31	8.98	295305216
warm	30	libav	ffmpeg-first	0	0.97	6.07	637075456
early-fallback	1	auto	auto-first	0	1.19	6.26	641187840
early-fallback	1	libav	auto-first	0	0.96	6.09	634273792
early-fallback	2	libav	libav-first	0	1.00	6.10	627818496
early-fallback	2	auto	libav-first	0	1.23	6.40	640172032
early-fallback	3	auto	auto-first	0	1.23	6.24	641695744
early-fallback	3	libav	auto-first	0	0.97	6.07	625688576
early-fallback	4	libav	libav-first	0	0.97	6.07	627556352
early-fallback	4	auto	libav-first	0	1.29	6.32	640974848
early-fallback	5	auto	auto-first	0	1.20	6.18	639877120
early-fallback	5	libav	auto-first	0	0.96	6.08	629686272
